Lfd Nr;Tatzeit;Tatort;Sachverhalt;TV;Phänomenbereic h;Zähldelikt §;Bezeichnung;Betroffene Partei
57;13.03.2021;Berlin;Unbekannte Tatverdächtige schlitzten alle vier Reifen und das Cabriodeck eines ordnungsgemäß geparkten PKW auf. Beim Nutzer des PKW handelt es sich um ein AfD Parteimitglied. Dieser wurde bereits Opfer politisch motivierter Straftaten. Der Geschädigte ist der Halter des Fahrzeugs. Ergänzung AZ 17.03.21;0;Links;§303 StGB;Sachbeschädigung;AfD
58;06.03.2021;Berlin;"Der unbekannte Tatverdächtige mit der E-Mail-Adresse ""Walter@maser.de"" schrieb an die geschädigte Bundeskanzlerin folgende Nachricht: ""Betreff: Heil (Name der Bundeskanzlerin), Nachrichteninhalt: Ihr Drecksäcke bei der CDU/CSU macht noch den großen Reibach mit den Masken. So die Not der Menschen auszunutzen zeigt wieder was für geldgeile Arschöcher ihr seid. Bedauerlich, dass die Konzentrationslager mit ihren Gaskammern abgeschafft worden sind, denn da gehörst du und deine Parteigenossen reingesteckt. Du Scheiss Hoffentlich stirbst du einen grausamen Tod du Diktatur-Nutte. Heil (Name der Bundeskanzlerin).""";0;Nicht zuzuordnen;§130 StGB;Volksverhetzung;CDU
59;25.01.2021;Berlin;"Aus dem Webangebot der Bundesregierung wurde die EMail: ""Verdammte Drecksnutte (Bundeskanzlerin), wir kriegen Dich. Die Schlinge zieht sich langsam zu HaHaHa. Wart mal ab, wenn Du nicht mehr im Amt bist. Ticket nach Südamerika schon gebucht?"" abgeschickt.";0;Nicht zuzuordnen;§185 StGB;Beleidigung;CDU
60;25.03.2021;Berlin;Unbekannte Tatverdächtige beschädigten die Schaufensterscheibe des Wahlkreisbüros der Geschädigten mit unbekanntem Tatmittel.;0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
61;29.03.2021;Berlin;"Im persönlichen Büro des Regierenden Bürgermeisters ging ein Brief ein, worin es heißt: ""Chaotentruppe Müller & Co. Im Berliner Rathaus. So was von hirnlos der Senats -Pfeifen "" unfassbar. Paranoid: Die Wichser müssen in die Irrenanstalt unverzüglich gez. Die Berliner Gruppe / 25.03.21"". Dabei sind die Worte ""Chaotisch"" und ""unverzüglich"" unterstrichen. Unter dem handschriftlich gefertigten Text befindet sich ein, aus einer Zeitung herausgerissenes, Bild des Bürgermeisters, bei dem das Gesicht mit blauer Farbe durchkreuzt wurde. Neben dem Bild befindet sich ein Pfeil, der auf die Worte ""Die Null"" zeigt. Zusammenhang Corona.";0;Nicht zuzuordnen;§185 StGB;Beleidigung;SPD
62;02.02.2021;Berlin;"Auf der Internetseite von indymedia wurde ein anonymer Text mit dem Titel ""200 Flügel Mitglieder aus Berlin"" veröffentlicht. Der Beitrag enthält tatsächlich 200 Mail Adressen. Die Inhaber dieser Adressen werden als ""AfD-Faschistinnen"" bezeichnet und ihnen wird unterstellt, Mitglied einer als ""Flügel"" bezeichneten, mittlerweile aufgelösten, als rechtsextrem eingestuften, Gruppierung innerhalb der Partei zu sein. Der in Rede stehenden Text ist zudem im Bereich ""Open-Posting"" veröffentlicht worden, auf den jedermann zum Upload von Daten über das Internet Zugriff hat. Ergänzung TM 08.04.21";0;Links;§185 StGB;Beleidigung;AfD
63;08.03.2021;Berlin;"Der unbekannte Tatverdächtige postete einen Artikel auf ""Tweeter"" mit dem Profilnamen ""Volksbote"", wo Fotos vom Geschädigten veröffentlicht wurden. Dazu wurde ein Artikel über ihn mit folgenden Worten verfasst: ""gezielt Menschen aufhetzt"", ""von der Partei der ""Grünen"" als Denunzant bezahlt wird"", ""ein massives Problem mit den Grundrechten anderer hat"" und ""in allen was seinem Weltbild nicht entspricht, nur Nazis sieht"".";0;Nicht zuzuordnen;§185 StGB;Beleidigung;Bündnis 90/Die Grünen
64;24.03.2021;Berlin;"Der unbekannte Tatverdächtige mit dem Facebook Namen ""Frank Nooee"" veröffentlichte folgende Kommentare: ""Wie Scheisse dämlich seid ihr unfähigen Vollidioten der CDU allen voran die kranke dämliche unfähige Merkel??man sollte die CDU mit dem Knüppel aus dem Bundestag prügeln....ihr zerstört Deutschland....der (Name der Bundeskanzlerin) wünsche ich das schlimmste was man einem Menschen wünschen kann das schlimmste überhaupt"" und ""Es ist ein Skandal wieviel doofe Menschen in der Politik sind...wirklich dumme naive blinde und realitätsfremde Idioten auch schon an der Basis..."". (Schreibweise übernommen) Ergänzung TM 12.04.21";0;Nicht zuzuordnen;§185 StGB;Beleidigung;CDU
65;26.01.2021;Berlin ;"Der unbekannte Tatverdächtige mit dem Instagram Namen ""Dillon Raasch"" beleidigte in mehreren persönliche Nachrichten dem geschädigten Politikerder Partei “AfD""
mit folgenden Worten: ""Du Hundesohn"" und ""Ich fick dein Eierkopf du scheiß Nazi! Grenzen sind Imaginärer wir
leben und 21 Jahrhundert und Ihr Hurensöhne der AFD habt nichts besseres zutun als Hetze zu betreiben! Schäm Dich du ehrenloser Bastard“";0;Links ;§185 StGB ;Beleidigung ;AfD
66;06.01.2021;Berlin;"Der unbekannte Tatverdächtige mit dem Facebook Namen ""Hermann Oldiges"" postete ein Kommentar in der Facebook-Gruppe ""Stopp das System-Wird sind das Volk"" und beleidigte dabei die geschädigte Politikerin der Partei ""Bündnis 90/Die Grünen"" mit folgenden Worten: """"was diese verdrehte, arrogant-dumme, selbstherrliche Schmarotzerin ""bemängelt"" wird wohl niemanden interessieren. Wofür bezahlen wir diese Futt überhaupt ????""";0;Nicht zuzuordnen;§185 StGB;Beleidigung;Bündnis 90/Die Grünen
67;13.01.2021;Berlin;"Der unbekannte Tatverdächtige mit dem Facebook Namen ""Ernst Polder"" postete ein Kommentar in einer privaten Facebook-Gruppe und beleidigte dabei die geschädigte Politikerin der Partei ""Bündnis 90/Die Grünen"" mit folgenden Worten: ""Is our flag the next thing to be banned. Sckeningü! Lässt sich leider nicht mehr Teilen, Zensur schlägt durch. Lockdown Lockdown Lockdown. The great Reset Vaccinatet Vaccinatet Vaccinatet. You may not survive, when you fall in the Statistics of the Elite Controller"" Unter dem Kommentar befindet sich ein Foto einer Hinrichtung. #covl9";0;Nicht zuzuordnen;§241 StGB;Bedrohung;Bündnis 90/Die Grünen
68;23.03.2021;Berlin;"Der unbekannte Tatverdächtige mit der E-Mail-Adresse ""adolfhitler@gmail.com"" beleidigte die geschädigte Bundeskanzlerin und Politikerin der Partei ""CDU"" mit folgenden Worten: ""Sehr geehrte Führerin, Bitte treten sie sofort zurück. Sie haben als Kanzlerin total versagt. Man müsste sie verklagen wegen Verrat am Deutschland. Strafe dafür erschiessungs Kommando"" (sic)";0;Rechts;§240 StGB;Nötigung;CDU
69;03.02.2021;Berlin;"Der unbekannte Tatverdächtige beleidigte den geschädigten Politiker der Partei der CDU mittels zwei Briefen mit folgendem Sachverhalt: ""Schwule Sau"" und ""Schwul (Name des GS)."" Des Weiteren wird Bezug auf den Corona-Virus genommen. #covl9";0;Rechts;§185 StGB;Beleidigung;CDU
70;12.01.2021;Berlin;"Der unbekannte Tatverdächtige mit dem Facebook Namen ""Chris Cross"" kommentierte einen geteilten Beitrag über die geschädigte Politikerin der Partei ""Bündnis90/Die Grünen"" mit dem Titel ""Deutschland braucht mehr Asylbewerber und 'Rettungsschiffe'!"" mit folgenden Worten: ""Grüne N. U.TTE."" Es handelt sich um eine private Gruppe mit dem Titel ""AfD Wähler unter sich"" mit ca. 2500 Mitgliedern.";0;Nicht zuzuordnen;§185 StGB;Beleidigung;Bündnis 90/Die Grünen
71;04.03.2021;Berlin;"Der unbekannte Tatverdächtige mit dem Facebook Namen ""ich.immernochich.75"" beleidigte die geschädigte Politikerin der Partei ""Bündnis 90/Die Grünen"" mit folgenden Worten: ""dich sollten die scheiß Kanaken mal vergewaltigen du elendiges Miststück""";0;Rechts;§130 StGB;Volksverhetzung;Bündnis 90/Die Grünen
72;12.03.2021;Berlin;"Auf Twitter wurde ein Video eingestellt in dem der Tatverdächtige die Bundeskanzlerin, hier Geschädigte mit den Worten: ""Verpiss dich aus unseren Land, Du bist die Volksverräterin, Du hast unsere Kinder auf dem Gewissen und die alten, wir werden dich in den Knast bringen. Wir sind das Souveräne, wir singen Lockdown"" öffentlich beleidigte. cov#19";1;Rechts;§90 A StGB;Verunglimpfung des Staates und seiner Symbole;CDU
73;29.01.2021;Berlin;"Der Tatverdächtige wurde von der Geschädigten angesprochen, dass er seinen Hund besser behandeln sollte. Daraufhin sagte der Tatverdächtige: ""Deine Fresse kenn ich doch, du scheiß AfD-Fotze."". Dies ereignete sich bereits im vergangenen Jahr. Als die Geschädigte öffnete zum Tatzeitpunkt eine Nachricht über eine Datingapp (Jaumo) und erhielt eine Nachricht vom Tatverdächtigen, der sie scheinbar erkannte. Er schrieb ihr ""Und du grölst aus deinem Pussypanzer Leuten hinterher, weil du nicht die Eier hast, auszusteigen und die deine verdiente Prügel abzuholen. Es geht dich einen Scheiß an, wie andere ihre Hunde trainieren. Wenn ich dich nochmal sehe, ramm' ich dir meinen Bimbopimmel in deine AFD-Arschfotze!""";0;Links;§185 StGB;Beleidigung;AfD
74;29.03.2021;Berlin;"Der unbekannte Tatverdächtige mit der E-Mail-Adresse ""alexander.unterberg@hotmail.com"" bedrohte den geschädigten Politiker der Partei ""SPD"" schriftlich mit den Worten: Betreff: ""Du Steuer finanzierter Bastard"", ""Halt deine unqualifizierte Fresse du Drecksau!!!"" und ""Deine Alte hat gena gewusst warum sie die einen Arschtritt gegeebn hat, weil du eine Eierlose, schuwrlbende, Schwachstelle bist!!! Du Sheisshaufen pass jetzt mal auf"" (sic)";0;Nicht zuzuordnen;§185 StGB;Beleidigung;SPD
75;23.02.2021;Berlin;"Der unbekannte Tatverdächtige mit dem Facebook Namen ""Bianca Petrolle"" setze in der Gruppe ""Wir gegen die Maskenpflicht"" folgenden Kommentar gegen den geschädigten Politiker der Partei ""SPD"" ab: ""Reicht schon wenn ihn endlich einer stoppt"". Die Facebookgruppe ist eine private Gruppe, und wird von 7 054 Mitgliedern genutzt.";0;Nicht zuzuordnen;§185 StGB;Beleidigung;SPD
76;04.03.2021;Berlin;"Der unbekannte Tatverdächtige mit dem Facebook Namen ""Christopher Henze"" beleidigte die geschädigte Politikerinder Partei ""Bündnis90/Die Grünen"" mit folgendem Kommentar: ""sich sollten die scheiß Kanaken mal vergewaltigen du elendiges Miststück"" (sic!)";0;Rechts;§185 StGB ;Beleidigung ;Bündnis 90/Die Grünen 
77;26.03.2021;Berlin;"Der Tatverdächtige verschickte eine E-Mail mit dem folgenden Inhalt an das Bezirksamt Pankow: ""Ich bin schockiert von der Festnahme eines Radfahrers durch ihre Mitarbeiter. Solche Faschohilfspolizisten gehören sofort entlassen! (...) Was bilden sich diese Hilfbullen denn ein und die Berufspolite guckt zu I Das wird ein Nachspiel haben I Ich werde ab sofort allen ihren Mitarbeitern gegenüber feindlich gesinnt auftreten! Gerade habe ich erfahren, dass ein AFD Nazi Ordnungsstadtrad ist?! Was für eine Schande, ein Scheissdrecksfaschist hat natürlich Verständnis, wenn Uniformierte Gewalt gegen Bürger bzw. Radfahrer ausüben. Schande Schande Kampfund Widerstand, ab sofort! Schmeisst die Nazis raus, sonst machen wir das."" (sic)";1;Links;§185 StGB;Beleidigung;AfD
78;19.02.2021;Berlin;"Während einer Videokonferenz im Musikunterricht hat ein unbekannter Täter folgende Äußerungen in den Chat geschrieben: ""das ist (Name bekannt) der hs scheiß kommunist und (Name des GS) der hs scheiß jude"".";0;Rechts;§130 StGB;Volksverhetzung;Sonstige Partei
79;23.03.2021;Berlin;"Der unbekannte Tatverdächtige bedrohte über das Kontaktformular unter der E-Mail-Adresse ""hanserkrausl@web.de"" die geschädigte Bundeskanzlerin und Politikerin der Partei ""CDU"" mit den Worten: ""Betreff: Corona Nachrichteninhalt: (Name der GS) du OssiSchampe dich sollte man nach Bautzen schicken. Du machst unser Land nicht kaputt und ""Braun, du Depp, du Arschloch, über ein Jahr das selbe gelaber. Ihr gehört in dem Knast. Euer Versagen ist ohne Worte. Merkel die unser Land kaputt macht gehört nach Bautzen. Ihr kriegt noch euer Fett weg. Wir sind das Volk."" #covl9";0;Nicht zuzuordnen;§241 StGB;Bedrohung;CDU
80;30.01.2021;Berlin;Unbekannte Tatverdächtige veröffentlichen auf der Internetseite indymedia.org unter dem Link https://antifaberlin.info/recherche/1767-200-flgel-mitglieder-aus-berlin eine Liste mit 200 Personen, welche offenbar der AfD angehören oder zumindest in deren E-Mail-Verteiler aufgelistet sind. Hierbei wurden auch die Daten der beiden hier Anzeigenden veröffentlicht.;0;Links;LDSG;;AfD
81;05.01.2021;Lahr;Der UT sandte eine E-Mail an die Stadtverwaltung. In dieser E-Mail werden 4 CSU Mitglieder beleidigt und als dreckige Rechtsextremisten und schmierige Dreckskriminelle beschimpft. Es wird ihnen vorgeworfen nicht an Aufklärung von Straftaten interessiert zu sein. (NSU);0;Links;§90B StGB;Verfassungsfeindlich e Verunglimpfung von Verfassungsorganen;CSU
82;03.01.2021;Lahr;Der UT sandte eine E-Mail an das Rechts- und Ordnungsamt in der Mitglieder der Regierung verunglimpft und beleidigt werden. Aufgrund des Umstandes, dass in der E-Mail die Aufarbeitung von rechtsterroristischen Taten kritisch betrachtet wird, kann insoweit die Täterschaft dem linken politischen Spektrum zugeordnet werden.;0;Links;§90B StGB;Verfassungsfeindlich e Verunglimpfung von Verfassungsorganen;CDU
83;07.01.2021;Schorndorf;Auf einer linksextremistischen Plattform wurden die Adresse und Bilder der GE veröffentlicht. Der Grund für die Veröffentlichung dürfte im Kontext zu sehen sein, dass der GE der örtlichen AfD zugehörig ist und der Querdenker-Bewegung zuzuordnen wäre. cov#19. Laut FZA 3/2021 wurde UTF gegen rechts ergänzt.;0;Links;KUG;;AfD
84;06.02.2021;Kirchheim;Die TV riss Wahlplakate der SPD, auf dem der Wahlkandidat zu sehen war, von einer Hauswand und zerriss diese.;1;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;SPD
85;26.01.2021;Ostfildern ;Der TV übermalte ein Plakat der Partei Bündnis 90/Die 1 Grünen mit einem Edding. Die darauf abgebildete Landtagskandidatin versah der TV mit einer Mund- Nasenbedeckung. cov#19;1;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
86;05.02.2021;Albstadt;"Die UT beschmierten ein Wahlplakat der Partei ""B90/Die Grünen"" mit dem Schriftzug ""Lobby Hure"". Auf dem Plakat ist der Ministerpräsident BW und eine Frau mit Migrationshintergrund zu sehen. Auf einem weiteren Wahlplakat der Partei ""CDU"" wurde das Gesicht der GS mit dem Schriftzug ""PA PANIK PANIK - MA-CHEN PANIK"" fast ganz übermalt. Tatzusammenhang: ST/0241977/2021.";0;Rechts;§303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen, CDU
87;07.02.2021;Albstadt;"Der UT beschmierte ein Wahlplakat der Partei ""B90/Die Grünen"" mit dem Schriftzug ""Heuchelt NICHT"". Das Plakat zeigt den Ministerpräsidenten BW und eine Frau mit Migrationshintergrund. Außerdem wurde ein Blumensymbol am unteren Rand mit einem Hakenkreuz übermalt. Tatzusammenhang: ST/230251/2021.";0;Rechts;§86A StGB;Verwenden von Kennzeichen verfassungswidriger Organisationen;Bündnis 90/Die Grünen
88;04.02.2021;Aalen;"Der UT besprühte eine Parkplatzmauer mit dem Schriftzug ""Heil Merkel"". Der Schriftzug bringt die BuKain mit dem damaligen Diktator Adolf Hitler in Verbindung. Da man ihren Namen in den ""Hitlergruß"" integrierte wird von einer Gleichstellung beider Politiker ausgegangen. Daher lässt sich vermuten, dass der Täter die Bundeskanzlerin mit Adolf Hitler und seiner damaligen Regierungsform vergleicht bzw. sogar gleichstellt. Aufgrund der aktuellen Covid-19-Situation könnte man hierbei davon ausgehen, dass der UT die aktuellen Maßnahmen zur Reduzierung der Ansteckungsgefahr als unverhältnismäßige Einschränkungen und die aktuelle Regierung als Diktatur ansieht. cov#19.";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;CDU
89;09.02.2021;Rammingen;UT beschmierten ein Wahlplakat der CDU Die abgebildete Kultusministerin wurde dabei als blöde Sau betitelt.;0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;CDU
90;08.02.2021;Gengenbach ;"UT besprühten Wahlplakate der CDU mit der Aufschrift 0 Weg mit Euch. Ein Plakat der SPD wurde mit den
Schriftzügen Antifa und SED besprüht. Das Gesicht einer Politikerin wurde mit einem X besprüht.";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;SPD, CDU
91;11.02.2021;Lauda-Königshofen;UT beschmierte Wahlplakate der CDU mit Bild von einem Politiker. Die Beschriftung lautet: Welcher Frisör färbt dir die Haare? und -i-Afallaufbereitung.;0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;CDU
92;08.02.2021;Vaihingen;"Der UT besprühte ein Wahlplakat der Partei ""B90/Die Grünen"" und der ""CDU"", auf denen jeweils der Kandidat (u.a. der Ministerpräsident BW) für die Landtagswahl abgebildet ist. Dabei wurde der Ministerpräsident BW als ""Lügner"" bezeichnet und die Kandidatin der ""CDU"" mit ""VOLKSVERRAT"" tituliert. Laut FZA 3/2021 Tatmittel ergänzt.";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen, CDU
93;12.02.2021;Heilbronn;UT schmierten auf ein Wahlplakat der AfD ein HK. Dieses wurde auf die Stirn des abgebildeten Landtagswahlkandidaten gemalt .Lt. NM v.15.03.21 Änderungen übernommen.;0;Nicht zuzuordnen;§86A StGB;Verwenden von Kennzeichen verfassungswidriger Organisationen;AfD
94;03.02.2021;Mengen;UT brachte auf einem Wahlplakat der Partei Bündnis 90/Die Grünen mit dem Konterfei des MP von BW das Wort Nazi an.;0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
95;09.02.2021;Wiesloch ;"Der GE ist Landtagskandidat für die AfD und händigte dem UT einen seiner Wahlkampfflyer aus. Dieser wurde durch den UT in Augenschein genommen und mit den Worten ""Du scheiß Nazi"" vor die Füße des GE geworfen.";0;Nicht zuzuordnen;§185 StGB;Beleidigung;AfD
96;08.02.2021;Schwäbisch Gmünd;"Der UT stieg aus einem Bus und ging in Richtung der beiden GS, die für die Partei AfD Wahlplakate aufhingen, und sagte „Ihr Arschlöcher, dürft ihr überhaupt Plakate aufstellen!?"" Weiterhin sagte er dann noch, dass sie diese Plakate gleich wieder abmachen sollen.";0;Nicht zuzuordnen;§185 StGB;Beleidigung;AfD
97;01.02.2021;Großbottwar;Die GS habe Wahlplakate der AfD aufgehangen, als sie durch den alkoh. BS als Nazis und Faschisten beleidigt wurden. Zudem habe er Lichtbilder von den GS gefertigt.;1;Nicht zuzuordnen;§185 StGB;Beleidigung;AfD
98;07.02.2021;Vaihingen;Unbekannter Täter beschädigt jeweils ein Wahlplakat der CDU und der FDP durch beleidigende Aufschriften der abgebildeten Politiker der jeweiligen Partei.;0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;CDU FDP
99;13.02.2021;Schwäbisch Gmünd;"Von UT wurde ein Großflächenplakat Partei Bündnis 90/DIE GRÜNEN beschmiert: Um den Kopf der Landtagskandidatin wurde ein Fadenkreuz sowie auf der rechten Seite daneben der Schriftzug „Fuck You"" mit schwarzer Farbe aufgesprüht.";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
